id,leadId,activityDate,activityTypeId,primaryAttributeValueId,primaryAttributeValue,ClientIPAddress,QueryParameters,ReferrerURL,UserAgent,WebpageURL,campaignId,campaignId_UserAgent,campaignId_WebpageURL
46541142,49678,2017-01-26T00:23:30Z,1,15,www.unirita.co.jp/corporate/,150.63.64.10,,http://www.unirita.co.jp/about-users.html?mkt_tok=eyJpIjoiTTJVME16SXpNamd6T0RSaCIsInQiOiJkSlFrUXFxRCtjZ1BNWFFFQ3VRMjZxQW1KemZaU1FTSzFxZDZSOHhIbVRvUVFZM3lHalRER0lHWms2UEdHS2dyU2xhdCttcDRZZlcxMlV1TWdHc0ZSeHZhY054NlkzMFdQaHNMNFFhblZJeEJcL1VkclwvN3lFT21lRFZtSTFxeEhBIn0=,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/corporate/,9663,,
46541163,49678,2017-01-26T00:23:35Z,1,6,www.unirita.co.jp/corporate/profile.html,150.63.64.10,,http://www.unirita.co.jp/corporate/,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/corporate/profile.html,,,
46541166,14484,2017-01-26T00:23:38Z,1,8,www.unirita.co.jp/,202.232.205.238,mkt_tok=eyJpIjoiTUdZek5UbGtZemxpWWpsaiIsInQiOiJBYXZaVDJMS205UCtGT3EzdU5PN1VxQm1OWWcyUHZ3TjE5ZDdtMkk2d1BpMjQzUEVyMlpqbXlhdGJrYndURldMeGN4Y2pVMG1WWVhwQ0RpMTVvZDdRem9TaVhkM2dDRlRHREJzSmh5U0grZnQyZXNHdjg5aFViWkY0YXIzc1wvVHIifQ==,http://go.unirita.co.jp/L303QN00a0IF0MLLC0L030y,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/,9663,,
46541170,1958533,2017-01-26T00:23:39Z,1,8970,www.unirita.co.jp/products/data_exploit/data_extract/,106.186.212.178,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/products/data_exploit/data_extract/,,,
46541375,1007909,2017-01-26T00:23:57Z,1,28569,www.sysadmingroup.jp/suishin.html,61.202.229.244,,http://www.sysadmingroup.jp/sandoukigyo.html,"Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko",/suishin.html,,,
46541395,14484,2017-01-26T00:23:57Z,1,15,www.unirita.co.jp/corporate/,202.232.205.238,,http://www.unirita.co.jp/?mkt_tok=eyJpIjoiTUdZek5UbGtZemxpWWpsaiIsInQiOiJBYXZaVDJMS205UCtGT3EzdU5PN1VxQm1OWWcyUHZ3TjE5ZDdtMkk2d1BpMjQzUEVyMlpqbXlhdGJrYndURldMeGN4Y2pVMG1WWVhwQ0RpMTVvZDdRem9TaVhkM2dDRlRHREJzSmh5U0grZnQyZXNHdjg5aFViWkY0YXIzc1wvVHIifQ==,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/corporate/,9663,,
46541484,1637054,2017-01-26T00:24:06Z,1,20660,www.unirita.co.jp/itsyourturn/download/cmp_wpunyoless.html,210.130.195.18,mkt_tok=eyJpIjoiT1RaaE1qQXdNMk00Tm1ZMCIsInQiOiJOTHk1UVBNMUJnVXZyVEtscHIzdFMra1krODh3aWdjV0p3XC9YYmFtdnJGN3duQVYzZ3RSdkp2MmR2YjRsSVNuYW1yWXlRRHRmWVlQYVIwWE1iUE9lOWJrekw1cWZObVVTTTZmdXRwTGtPN3pzbDFNVENVQlpOMVlkK1RiUnVmVFUifQ==,http://go.unirita.co.jp/c0603R6M0LyN0a3Q40SwF00,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/itsyourturn/download/cmp_wpunyoless.html,9663,,
46541547,42625,2017-01-26T00:24:06Z,1,2,UnsubscribeConfirm,210.146.35.20,aliId=2068939,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36",/UnsubscribeConfirm.html,,,
46541665,14484,2017-01-26T00:24:10Z,1,7,www.unirita.co.jp/corporate/history.html,202.232.205.238,,http://www.unirita.co.jp/corporate/,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/corporate/history.html,,,
46542683,42768,2017-01-26T00:24:14Z,1,26986,www.unirita.co.jp/blog/cloud-computing/becloud/20161124.html,122.209.252.130,mkt_tok=eyJpIjoiWVRVMlpXTTVNVGt5WmpneSIsInQiOiJVenF1WWlvUGhUV2dud3hsZ1BFNkpCZXJqOGNFeWlVZUpJUW44ZVloYlN4Q1psQ3BBWnppYUhGRWZQbVlFS0c3aUdqcHRGUGJkQXFQbFwvVFpcL09rUnVhYTd5SWRlRnQ2ZTVTTkVLdmkrZG5JSjRVdjdidXZOaTNUcnpIYkl3Y0ZDIn0=,http://go.unirita.co.jp/TjyMF0O0a0007NA30L0b3Q0,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/blog/cloud-computing/becloud/20161124.html,9663,,
