id,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,Choice Number,Step ID
46120938,1022891,2017-01-23T02:30:11Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120939,45050,2017-01-23T02:30:11Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46120940,7360,2017-01-23T02:30:11Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120941,39029,2017-01-23T02:30:11Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120942,1063,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120943,28732,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120944,28981,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120945,1671629,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120946,13025,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120947,24618,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120948,1007316,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120949,1671607,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120950,1005825,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120951,26704,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120952,50995,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120953,45599,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120954,18291,2017-01-23T02:30:12Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120955,40411,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120956,43061,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120957,9523,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120958,11742,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120959,35471,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120960,1023037,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120961,22399,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120962,28990,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120963,46254,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120964,34157,2017-01-23T02:30:13Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120965,1714376,2017-01-23T02:30:14Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120966,30859,2017-01-23T02:30:14Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120967,53932,2017-01-23T02:30:14Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120968,29556,2017-01-23T02:30:14Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120969,9330,2017-01-23T02:30:15Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120970,24432,2017-01-23T02:30:15Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120971,1020931,2017-01-23T02:30:15Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120972,57125,2017-01-23T02:30:15Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120973,50535,2017-01-23T02:30:15Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120974,1223129,2017-01-23T02:30:16Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120975,13853,2017-01-23T02:30:18Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120976,1018720,2017-01-23T02:30:19Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120977,29532,2017-01-23T02:30:21Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120978,54061,2017-01-23T02:30:25Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120979,53198,2017-01-23T02:30:26Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120980,1010736,2017-01-23T02:30:26Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120981,53417,2017-01-23T02:30:27Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120982,34442,2017-01-23T02:30:33Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46120983,49803,2017-01-23T02:30:44Z,7,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0
46121051,1710325,2017-01-23T02:30:08Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121052,28554,2017-01-23T02:30:10Z,7,9253,12686,【超無関心】IoT・ビッグデータ活用_エンゲージメント★.2-1.認知興味関心,26141,0
46121053,16542,2017-01-23T02:30:10Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121054,46473,2017-01-23T02:30:11Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121055,21423,2017-01-23T02:30:12Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121056,44127,2017-01-23T02:30:12Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121057,46265,2017-01-23T02:30:12Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121058,28015,2017-01-23T02:30:12Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121059,38487,2017-01-23T02:30:12Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121060,29633,2017-01-23T02:30:13Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
